t,type,info,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
0.298,hid,"18,20,22,24,25,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,211,255,45,0,174,255,67,254,179,4,178,15,0,0
0.313,hid,"18,20,22,24,26,27,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,227,255,34,0,241,255,118,254,45,5,156,15,0,0
0.329,hid,"18,19,20,22,24,25,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,18,0,25,0,205,255,48,255,157,5,7,16,0,0
0.36,hid,"18,20,22,24,25,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,94,0,104,0,102,255,208,254,167,5,142,15,0,0
0.391,hid,"18,20,22,24,25,26,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,49,0,86,0,189,255,253,253,110,5,87,15,0,0
0.406,hid,"18,20,22,24,25,26,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,160,0,3,0,135,255,7,254,139,5,200,15,0,0
0.438,hid,"18,19,20,21,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,130,2,136,255,68,255,204,254,176,4,123,17,0,0
0.455,hid,"18,19,20,22,24,25,26,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,218,3,146,255,50,255,12,255,117,4,115,17,0,0
0.47,hid,"18,19,20,22,24,25,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,136,4,123,255,72,255,140,254,0,5,19,16,0,0
0.486,hid,"18,20,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,79,4,128,255,128,255,168,254,76,6,151,14,0,0
0.518,hid,"18,19,20,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,178,2,166,255,205,255,248,254,22,8,185,13,0,0
0.532,hid,"18,20,22,24,26,28",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,30,2,180,255,171,255,114,254,161,8,231,13,0,0
0.548,hid,"18,19,20,21,22,24,26,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,108,1,19,0,227,255,0,254,77,8,110,14,0,0
0.58,hid,"18,19,20,21,22,24,25,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,55,3,184,255,132,255,3,255,122,6,115,16,0,0
0.595,hid,"18,20,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,92,3,180,255,137,255,45,255,53,7,233,14,0,0
0.61,hid,"18,19,20,22,24,26,27,28,29",4,90,165,239,0,0,0,0,28,0,40,0,0,0,0,0,0,0,195,2,220,255,150,255,63,255,157,8,218,13,0,0
0.625,hid,"4,5,6,18,19,20,21,22,24,26,27,28",4,90,165,239,184,255,36,0,28,0,40,0,0,0,0,0,0,0,202,1,43,0,218,255,55,255,41,9,86,13,0,0
0.657,hid,"18,20,22,23,24,25,26,27,28,29",4,90,165,239,184,255,36,0,28,0,40,0,0,0,0,0,0,0,75,1,44,0,23,0,243,254,241,7,242,14,0,0
0.673,hid,"18,20,22,24,25,26,28,29",4,90,165,239,184,255,36,0,28,0,40,0,0,0,0,0,0,0,213,1,32,0,11,0,53,255,135,7,201,15,0,0
0.687,hid,"4,18,19,20,22,23,24,26",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,64,2,23,0,251,255,47,255,112,7,201,15,0,0
0.719,hid,"18,20,22,23,24,25,26,27,28,29",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,24,2,21,0,14,0,92,254,155,9,75,13,0,0
0.734,hid,"18,19,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,111,1,50,0,57,0,127,254,211,9,14,13,0,0
0.75,hid,"18,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,30,1,69,0,84,0,233,254,95,9,221,13,0,0
0.78,hid,"18,20,22,24,25,26,27,28,29",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,174,1,73,0,51,0,15,255,160,8,233,14,0,0
0.812,hid,"18,20,22,24,25,26,27,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,235,1,77,0,30,0,213,254,98,9,59,14,0,0
0.827,hid,"18,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,245,1,80,0,28,0,155,254,118,9,21,14,0,0
0.858,hid,"18,19,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,45,2,62,0,6,0,222,254,164,9,0,14,0,0
0.874,hid,"18,20,22,24,26,28,29",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,27,2,63,0,4,0,244,254,233,9,181,13,0,0
0.89,hid,"18,19,20,22,23,24,25,26,27,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,254,1,61,0,251,255,6,255,71,10,94,13,0,0
0.92,hid,"18,20,22,23,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,220,1,43,0,25,0,5,255,118,10,98,13,0,0
0.921,hid,"18,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,221,1,48,0,27,0,46,255,138,10,117,13,0,0
0.952,hid,"18,19,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,9,2,28,0,11,0,43,255,181,10,66,13,0,0
0.967,hid,"18,20,22,24,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,6,2,3,0,6,0,38,255,180,10,6,13,0,0
0.998,hid,"18,19,20,21,22,23,24,26,27,28,29",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,105,1,250,255,229,255,17,255,54,11,193,12,0,0
1.014,hid,"18,20,22,24,25,26,28",4,90,165,239,244,255,36,0,28,0,40,0,0,0,0,0,0,0,50,1,251,255,238,255,187,254,86,11,141,12,0,0
1.029,hid,"6,7,18,19,22,24,26,28",4,90,165,239,244,255,244,255,28,0,40,0,0,0,0,0,0,0,206,0,251,255,250,255,133,254,181,11,60,12,0,0
1.061,hid,"18,20,21,22,23,24,26,28",4,90,165,239,244,255,244,255,28,0,40,0,0,0,0,0,0,0,164,0,78,0,88,0,126,254,135,11,235,12,0,0
1.091,hid,"18,20,22,24,26,28",4,90,165,239,244,255,244,255,28,0,40,0,0,0,0,0,0,0,168,0,137,0,181,0,222,254,87,11,202,12,0,0
