t,phase,rms,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31
0.247,A,0.002072,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,6,0,8,0,4,16,0,0
0.247,A,0.001582,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,6,0,8,0,4,16,0,0
0.276,A,0.001597,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,254,255,254,255,1,0,3,16,0,0
0.291,A,0.001583,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,254,255,0,0,0,0,252,15,0,0
0.322,A,0.001542,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,250,255,18,0,0,16,0,0
0.338,A,0.001819,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,249,255,6,0,11,16,0,0
0.353,A,0.001547,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,16,0,0
0.369,A,0.001473,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,255,0,0,6,0,248,15,0,0
0.399,A,0.001503,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,254,255,255,255,10,0,253,15,0,0
0.415,A,0.001664,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,254,255,246,255,5,0,248,15,0,0
0.431,A,0.001575,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,251,255,255,255,1,16,0,0
0.462,A,0.001267,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,6,0,10,0,7,16,0,0
0.477,A,0.0017,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,5,0,5,0,2,16,0,0
0.494,A,0.002025,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,252,255,8,0,255,15,0,0
0.509,A,0.001925,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,254,255,14,0,7,16,0,0
0.539,A,0.00163,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,2,0,4,0,5,16,0,0
0.555,A,0.001537,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,247,255,3,0,255,15,0,0
0.57,A,0.002006,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,11,0,9,0,253,15,0,0
0.602,A,0.001523,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,252,255,15,0,253,15,0,0
0.618,A,0.001844,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,255,10,0,11,0,5,16,0,0
0.634,A,0.002034,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,6,0,8,0,248,15,0,0
0.649,A,0.002221,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,255,255,245,255,13,0,255,15,0,0
0.68,A,0.003218,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,11,0,0,16,0,0
0.695,A,0.001834,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,254,255,8,0,13,0,2,16,0,0
0.711,A,0.001999,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,4,0,12,0,251,15,0,0
0.742,A,0.002402,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,252,255,8,0,252,15,0,0
0.759,A,0.002049,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,254,255,6,0,6,0,4,16,0,0
0.774,A,0.001852,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,252,255,9,0,9,16,0,0
0.79,A,0.002234,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,250,255,3,0,253,15,0,0
0.821,A,0.001902,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,0,0,254,255,1,0,5,16,0,0
0.837,A,0.001675,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,253,255,252,255,3,0,248,15,0,0
0.852,A,0.0013,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,254,255,254,255,3,0,4,0,250,15,0,0
0.883,A,0.001278,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,7,0,253,255,3,16,0,0
0.883,A,0.001598,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,6,0,2,0,255,15,0,0
0.914,A,0.001326,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,4,0,14,0,254,15,0,0
0.929,A,0.001509,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,0,0,255,255,0,0,16,0,7,16,0,0
0.96,A,0.002325,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,247,255,17,0,247,15,0,0
0.976,A,0.002069,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,0,0,6,0,16,0,250,15,0,0
0.991,A,0.001374,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,255,255,1,0,18,0,253,15,0,0
1.022,A,0.0016,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,10,0,5,0,255,15,0,0
1.037,A,0.00119,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,254,255,251,255,3,0,3,16,0,0
1.054,A,0.001358,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,254,255,2,0,10,0,252,15,0,0
1.07,A,0.001347,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,2,0,253,255,1,16,0,0
1.1,A,0.001518,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,255,255,3,0,10,0,249,15,0,0
1.115,A,0.001659,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,14,0,2,16,0,0
1.131,A,0.001886,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,1,0,14,0,252,15,0,0
1.162,A,0.001748,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,253,255,5,0,3,0,9,16,0,0
1.177,A,0.001684,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253,255,5,0,249,15,0,0
1.193,A,0.001472,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,2,0,9,0,250,15,0,0
1.209,A,0.001628,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,7,0,11,0,253,15,0,0
1.24,A,0.001628,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,244,255,7,0,255,15,0,0
1.255,A,0.001998,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,0,0,254,255,251,255,8,0,1,16,0,0
1.27,A,0.001623,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,8,0,8,0,255,15,0,0
1.301,A,0.001651,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,5,0,255,255,0,16,0,0
1.316,A,0.00182,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,255,15,0,0
1.332,A,0.00152,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,10,0,9,0,2,16,0,0
1.363,A,0.001643,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,0,0,3,0,1,0,252,15,0,0
1.378,A,0.001621,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,8,0,5,0,4,16,0,0
1.394,A,0.001611,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,253,15,0,0
1.409,A,0.001743,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,2,0,7,0,253,15,0,0
1.44,A,0.001762,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,0,0,255,255,9,0,3,16,0,0
1.456,A,0.001713,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,5,0,253,255,5,0,12,0,0,16,0,0
1.472,A,0.001438,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,7,0,12,0,1,16,0,0
1.502,A,0.00159,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,2,0,252,255,7,16,0,0
1.518,A,0.001771,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,2,0,254,255,10,0,2,0,255,15,0,0
1.533,A,0.001918,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,9,0,3,0,5,16,0,0
1.549,A,0.001882,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,245,255,5,0,243,15,0,0
1.58,A,0.001682,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,253,255,4,0,251,15,0,0
1.595,A,0.001665,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,7,0,6,0,252,15,0,0
1.61,A,0.00158,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,2,0,254,255,17,0,8,0,1,16,0,0
1.642,A,0.002472,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,255,255,4,0,254,15,0,0
1.658,A,0.002525,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,247,255,10,0,252,15,0,0
1.673,A,0.002088,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,255,255,244,255,5,0,255,15,0,0
1.689,A,0.002277,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,255,255,255,255,254,255,3,0,2,16,0,0
1.72,A,0.002577,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253,255,2,0,11,0,255,15,0,0
1.736,A,0.002291,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,9,0,10,0,1,16,0,0
1.752,A,0.001655,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,2,0,7,0,0,16,0,0
1.782,A,0.001307,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,2,0,6,0,0,16,0,0
1.798,A,0.001785,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,255,255,251,255,12,0,250,15,0,0
1.812,A,0.001836,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,255,255,248,255,9,0,255,15,0,0
1.844,A,0.001986,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,254,255,253,255,253,255,3,16,0,0
1.844,A,0.002321,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,254,255,253,255,253,255,3,16,0,0
1.874,A,0.002449,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,3,0,254,255,245,255,248,255,250,15,0,0
1.89,A,0.002146,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,2,0,254,255,7,0,249,255,11,16,0,0
1.922,A,0.003207,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,255,3,0,253,255,11,0,6,0,254,15,0,0
1.937,A,0.002832,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,255,3,0,0,0,2,0,12,0,28,16,0,0
1.953,A,0.002961,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,3,0,1,0,254,255,19,0,225,15,0,0
1.969,A,0.003308,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,255,0,0,254,255,3,0,29,0,8,16,0,0
2.001,A,0.002779,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,1,0,253,255,224,255,16,0,234,15,0,0
2.016,A,0.002685,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,247,255,3,0,14,16,0,0
2.032,A,0.002763,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,253,255,11,0,251,255,246,15,0,0
2.063,A,0.00297,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,254,255,37,0,0,0,253,15,0,0
2.079,A,0.003048,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,0,249,255,10,16,0,0
2.095,A,0.002648,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,3,16,0,0
2.111,A,0.003183,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,253,255,239,255,9,0,252,15,0,0
2.141,A,0.002607,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,254,255,241,255,13,0,255,15,0,0
2.157,A,0.002349,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,235,255,253,255,8,16,0,0
2.173,A,0.002273,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,253,255,252,255,248,255,254,15,0,0
2.189,A,0.002288,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,254,255,16,0,251,255,2,16,0,0
2.219,A,0.002009,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,21,0,13,0,0,16,0,0
2.235,A,0.001932,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,10,0,11,0,243,15,0,0
2.25,A,0.002002,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,0,0,9,0,255,15,0,0
2.281,A,0.001586,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,253,255,247,255,241,255,0,16,0,0
2.296,A,0.001706,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,243,255,244,255,8,16,0,0
2.312,A,0.001575,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,249,255,253,255,1,16,0,0
2.344,A,0.001349,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,6,0,17,0,2,16,0,0
2.344,A,0.001463,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,6,0,17,0,2,16,0,0
2.375,A,0.001498,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,6,0,22,0,248,15,0,0
2.391,A,0.001521,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,0,0,8,0,9,0,0,16,0,0
2.422,A,0.001569,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,254,255,0,0,254,255,4,16,0,0
2.438,A,0.001422,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,251,255,3,0,255,15,0,0
2.453,A,0.001238,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,253,255,250,255,249,255,254,15,0,0
2.469,A,0.001296,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,244,255,6,0,4,16,0,0
2.5,A,0.001708,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,15,0,14,0,253,15,0,0
2.517,A,0.001736,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,255,255,18,0,23,0,246,15,0,0
2.532,A,0.003147,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,24,0,27,0,5,16,0,0
2.563,A,0.001841,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,1,0,255,255,250,255,250,255,47,16,0,0
2.563,A,0.001937,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,1,0,255,255,250,255,250,255,47,16,0,0
2.594,A,0.001697,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,254,255,227,255,224,255,246,15,0,0
2.611,A,0.001525,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,253,255,233,255,0,0,10,16,0,0
2.641,A,0.0017,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,10,0,23,0,33,16,0,0
2.656,A,0.001583,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,254,255,16,0,17,0,224,15,0,0
2.672,A,0.001476,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,32,0,15,0,14,16,0,0
2.703,A,0.001262,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,251,255,4,16,0,0
2.703,A,0.001359,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,251,255,4,16,0,0
2.735,A,0.001533,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,253,255,2,0,250,15,0,0
2.75,A,0.001578,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,233,255,4,0,244,15,0,0
2.781,A,0.001672,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,253,255,236,255,8,0,234,15,0,0
2.796,A,0.001576,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,255,0,0,252,255,7,0,253,255,11,16,0,0
2.811,A,0.001535,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,254,255,24,0,3,0,8,16,0,0
2.843,A,0.001336,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,0,0,19,0,7,0,247,15,0,0
2.858,A,0.001408,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,1,0,1,0,11,0,11,16,0,0
2.873,A,0.001934,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,0,0,235,255,10,0,9,16,0,0
2.889,A,0.001525,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,226,255,16,0,253,15,0,0
2.919,A,0.001679,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,254,255,237,255,9,0,245,15,0,0
2.936,A,0.00139,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,12,0,252,255,4,16,0,0
2.952,A,0.001463,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,0,0,0,0,8,0,239,255,248,15,0,0
2.983,A,0.001499,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,247,255,9,0,246,15,0,0
2.983,A,0.001721,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,255,255,247,255,9,0,246,15,0,0
3.014,A,0.001427,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,254,255,4,0,16,0,216,15,0,0
3.03,A,0.00155,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,15,0,18,16,0,0
3.061,A,0.001538,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,248,255,5,0,244,15,0,0
3.076,A,0.001697,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,254,255,247,255,249,255,14,16,0,0
3.092,A,0.001646,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,255,255,237,255,251,255,240,15,0,0
3.124,A,0.001421,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,255,255,3,0,14,0,242,15,0,0
3.124,A,0.001271,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,255,255,3,0,14,0,242,15,0,0
3.155,A,0.001362,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,0,0,1,0,6,0,6,0,247,15,0,0
3.171,A,0.001677,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,250,255,254,15,0,0
3.203,A,0.001778,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,255,255,252,255,242,255,24,16,0,0
3.218,A,0.001759,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,254,255,2,0,236,255,4,0,203,15,0,0
3.235,A,0.001518,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,246,255,1,0,61,16,0,0
3.25,A,0.001271,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,2,0,237,255,15,0,213,15,0,0
3.282,A,0.001625,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,255,255,248,255,227,15,0,0
3.298,A,0.001778,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,254,255,255,255,14,0,254,255,3,16,0,0
3.314,A,0.001643,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,255,255,17,0,11,0,249,15,0,0
3.33,A,0.001391,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,16,0,254,15,0,0
3.36,A,0.001675,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,2,0,246,255,255,255,237,15,0,0
3.376,A,0.001624,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,240,255,248,255,13,16,0,0
3.391,A,0.001354,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,241,255,248,255,235,15,0,0
3.422,A,0.001338,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,253,255,12,0,255,255,243,15,0,0
3.437,A,0.001577,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,255,255,16,0,10,0,252,15,0,0
3.453,A,0.001604,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,17,0,11,0,253,15,0,0
3.468,A,0.001601,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,255,255,22,0,20,0,255,15,0,0
3.499,A,0.00166,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,0,0,250,255,4,0,254,15,0,0
3.515,A,0.001535,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,255,255,236,255,249,255,3,16,0,0
3.53,A,0.001565,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,242,255,254,255,251,15,0,0
3.561,A,0.001468,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,0,0,1,0,244,255,6,0,4,16,0,0
3.577,A,0.001709,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,255,255,1,0,11,0,9,0,0,16,0,0
3.592,A,0.001934,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,9,0,18,0,249,15,0,0
3.623,A,0.001645,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,1,0,6,0,1,0,3,16,0,0
3.623,A,0.001576,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,3,0,1,0,6,0,1,0,3,16,0,0
3.655,A,0.001703,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,1,0,1,0,254,255,3,0,252,15,0,0
3.67,A,0.00174,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,0,0,253,255,3,0,244,15,0,0
3.701,A,0.001361,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,255,255,255,255,243,255,248,255,254,15,0,0
3.716,A,0.001418,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,253,255,250,255,4,0,251,15,0,0
3.731,A,0.001491,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,255,2,0,1,0,1,0,23,0,4,16,0,0
3.763,A,0.001572,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,1,0,1,0,1,16,0,0
3.763,A,0.001661,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,1,0,255,255,1,0,1,0,1,16,0,0
3.794,A,0.001703,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,255,255,17,0,10,16,0,0
3.81,A,0.001713,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,251,255,20,0,253,15,0,0
3.842,A,0.001566,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,3,0,0,0,248,255,0,0,244,15,0,0
3.858,A,0.001529,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,255,2,0,254,255,251,255,4,0,10,16,0,0
3.874,A,0.001488,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,0,0,4,0,252,255,246,15,0,0
3.89,A,0.001376,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,255,255,253,255,4,0,238,15,0,0
3.922,A,0.001627,4,90,165,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,2,0,255,255,249,255,5,0,241,15,0,0
