t,rms
7.12,0.003462
7.121,0.003318
7.151,0.003408
7.167,0.003707
7.199,0.003797
7.215,0.004051
7.231,0.003449
7.246,0.003464
7.278,0.003362
7.294,0.003366
7.309,0.003867
7.34,0.004017
7.341,0.003844
7.372,0.004073
7.386,0.004091
7.418,0.003963
7.434,0.004587
7.449,0.004534
7.48,0.004251
7.481,0.004587
7.511,0.004828
7.527,0.00436
7.558,0.004083
7.573,0.003622
7.589,0.003798
7.621,0.004081
7.621,0.0035
7.653,0.003508
7.669,0.003201
7.7,0.003603
7.701,0.003945
7.731,0.003486
7.747,0.00362
7.778,0.003059
7.794,0.002943
7.809,0.002587
7.841,0.002818
7.841,0.002444
7.872,0.00231
7.887,0.002886
7.919,0.002558
7.934,0.002589
7.949,0.003663
7.981,0.004138
7.981,0.003168
8.012,0.003976
8.028,0.00338
8.059,0.00332
8.074,0.003135
8.089,0.003793
8.12,0.004102
8.121,0.003546
8.151,0.004046
8.167,0.003746
8.199,0.003107
8.215,0.003045
8.231,0.003919
8.246,0.00356
8.278,0.003119
8.293,0.003576
8.31,0.002953
8.34,0.003241
8.341,0.003131
8.371,0.002839
8.387,0.003338
8.417,0.003337
8.433,0.003738
8.449,0.003534
8.479,0.003822
8.495,0.003696
8.511,0.003506
8.527,0.003111
8.558,0.003602
8.574,0.003014
8.589,0.002644
8.619,0.003477
8.635,0.003364
8.65,0.0033
8.666,0.00291
8.696,0.003311
8.712,0.003178
8.727,0.003231
8.759,0.003425
8.775,0.003409
8.791,0.00357
8.806,0.003757
8.838,0.003838
8.854,0.003225
8.869,0.00396
8.899,0.004323
8.915,0.004084
8.93,0.003706
8.946,0.004407
8.976,0.004722
8.993,0.003784
9.008,0.004128
9.039,0.003968
9.055,0.004594
9.071,0.003825
9.087,0.004018
9.118,0.003893
9.134,0.003767
9.149,0.004009
9.181,0.003833
9.181,0.004026
9.212,0.004233
9.227,0.004132
9.258,0.003646
9.274,0.004015
9.289,0.004558
9.321,0.004384
9.321,0.004529
9.352,0.003808
9.367,0.003674
9.398,0.003822
9.413,0.004095
9.428,0.004168
9.459,0.00398
9.475,0.004349
9.491,0.004767
9.507,0.004635
9.539,0.004225
9.555,0.00365
9.57,0.003536
9.586,0.003337
9.618,0.003272
9.634,0.003493
9.649,0.003646
9.68,0.003714
9.681,0.004627
9.711,0.004685
9.727,0.004518
9.759,0.004076
9.775,0.004297
9.79,0.003982
9.821,0.003879
9.821,0.004268
9.853,0.003979
9.868,0.004252
9.899,0.003987
9.915,0.003506
9.93,0.003438
9.946,0.003642
9.977,0.003234
9.994,0.002861
10.009,0.003294
10.04,0.003686
10.041,0.003235
10.072,0.002815
10.087,0.003212
10.119,0.003614
10.135,0.00302
10.15,0.003907
10.166,0.003347
10.196,0.003123
10.211,0.003542
10.227,0.002627
10.258,0.002507
10.274,0.003556
10.289,0.003115
10.321,0.00315
10.321,0.003251
10.352,0.003364
10.368,0.003192
10.4,0.003247
10.401,0.003034
10.432,0.003525
10.448,0.00331
10.48,0.003229
10.495,0.003533
10.51,0.003705
10.526,0.003403
10.557,0.003535
10.573,0.003135
10.589,0.003504
10.62,0.003789
10.635,0.003726
10.651,0.003468
10.667,0.003312
10.698,0.003211
10.714,0.003397
10.729,0.003382
10.76,0.003395
10.761,0.002828
10.791,0.002837
10.808,0.002882
10.838,0.003185
10.854,0.003299
10.87,0.002934
10.886,0.00327
10.918,0.003629
10.932,0.003097
10.948,0.002774
10.979,0.003535
10.994,0.003712
11.01,0.003826
11.026,0.003113
11.056,0.003338
11.072,0.003601
11.088,0.002772
11.119,0.002717
11.135,0.003061
11.151,0.003445
11.166,0.003367
11.198,0.003084
11.213,0.002975
11.229,0.004097
11.261,0.003937
11.261,0.004472
11.293,0.003734
11.309,0.00659
11.341,0.009895
11.341,0.010265
11.371,0.011977
11.387,0.008472
11.418,0.006505
11.434,0.00653
11.449,0.006345
11.481,0.005592
11.481,0.007591
11.512,0.010421
11.528,0.006537
11.56,0.004976
11.56,0.004141
11.591,0.003918
11.606,0.003314
11.637,0.002505
11.653,0.002793
11.669,0.002319
11.7,0.002444
11.716,0.002298
11.732,0.002434
11.748,0.002229
11.779,0.002174
11.795,0.002063
11.81,0.00162
11.826,0.00243
11.858,0.002008
11.873,0.002064
11.889,0.001906
11.919,0.001547
11.935,0.001723
11.95,0.001666
11.966,0.001287
11.997,0.001275
12.013,0.001497
12.028,0.001508
12.059,0.001518
12.075,0.001349
12.09,0.001406
12.106,0.001403
12.136,0.00148
12.151,0.001338
12.167,0.001277
12.198,0.001359
12.214,0.001569
12.23,0.001377
12.246,0.001194
12.277,0.001145
12.293,0.001001
12.308,0.001012
12.339,0.001175
12.354,0.001498
12.371,0.001073
12.386,0.001281
12.416,0.000999
12.431,0.001254
12.447,0.001201
12.478,0.001306
12.493,0.001283
12.509,0.001389
12.541,0.001351
12.541,0.001368
12.572,0.001328
12.587,0.001112
12.618,0.001434
12.635,0.001492
12.65,0.001063
12.667,0.00134
12.697,0.000985
12.713,0.000928
12.729,0.001252
12.761,0.001065
12.761,0.001265
12.791,0.001187
12.807,0.001058
12.838,0.000895
12.855,0.000805
12.87,0.001007
12.885,0.000964
12.917,0.000815
12.932,0.000924
12.947,0.000923
12.977,0.001449
12.993,0.001161
13.008,0.000992
13.039,0.00109
13.054,0.001112
13.07,0.001072
13.086,0.001384
13.116,0.001186
13.132,0.001031
13.148,0.001023
13.179,0.001103
13.195,0.001224
13.21,0.00155
13.225,0.001178
13.258,0.001351
13.274,0.003636
13.289,0.004642
13.32,0.004124
13.32,0.004847
13.351,0.006412
13.366,0.005437
13.398,0.009772
13.412,0.004791
13.428,0.002713
13.459,0.002136
13.475,0.002521
13.49,0.004763
13.506,0.003614
13.537,0.002395
13.553,0.002872
13.569,0.003485
13.601,0.002206
13.601,0.001909
13.632,0.002155
13.648,0.003534
13.679,0.004182
13.695,0.002153
13.711,0.001722
13.726,0.001604
13.758,0.001931
13.773,0.00246
13.789,0.002096
13.821,0.001644
13.822,0.001408
13.853,0.001665
13.869,0.001569
13.9,0.00155
13.9,0.001627
13.932,0.001672
13.948,0.001729
13.979,0.002038
13.996,0.001862
14.012,0.001835
14.027,0.003274
14.059,0.008358
14.075,0.008497
14.091,0.009564
14.106,0.009909
14.137,0.010361
14.152,0.010228
14.168,0.00792
14.199,0.010421
14.215,0.009518
14.23,0.006005
14.246,0.007651
14.277,0.00742
14.292,0.00669
14.307,0.010787
14.339,0.00961
14.355,0.010663
14.371,0.006334
14.386,0.007126
14.417,0.006807
14.433,0.00735
14.449,0.007424
14.48,0.00675
14.48,0.006508
14.511,0.010494
14.527,0.008515
14.559,0.005972
14.575,0.00441
14.59,0.005943
14.606,0.004854
14.638,0.005424
14.654,0.005771
14.669,0.008726
14.701,0.006686
14.701,0.006058
14.733,0.006947
14.748,0.007438
14.779,0.005609
14.795,0.007886
14.811,0.004913
14.825,0.005828
14.856,0.005467
14.871,0.004945
14.887,0.005397
14.918,0.006923
14.934,0.004981
14.95,0.0073
14.966,0.006361
14.996,0.005611
15.012,0.005206
15.027,0.005267
15.058,0.007144
15.074,0.00698
15.089,0.005754
15.121,0.004857
15.121,0.006023
15.152,0.005694
15.168,0.006404
15.199,0.005988
15.214,0.005778
15.231,0.00623
15.246,0.004109
15.279,0.005322
15.295,0.004748
15.31,0.004479
15.326,0.005112
15.358,0.005101
15.373,0.004604
15.389,0.005952
15.421,0.005172
15.421,0.005855
15.452,0.005737
15.468,0.006122
15.499,0.00553
15.515,0.005788
15.53,0.004978
15.547,0.00492
15.579,0.006101
15.595,0.004114
15.61,0.004988
15.626,0.004426
15.657,0.00508
15.672,0.004392
15.688,0.004232
15.719,0.004654
15.734,0.005049
15.751,0.003964
15.767,0.004628
15.799,0.003937
15.814,0.003646
15.829,0.004392
15.861,0.004752
15.861,0.004233
15.891,0.004641
15.906,0.004225
15.939,0.00399
15.94,0.00368
15.97,0.004155
15.985,0.004233
16.017,0.003697
16.033,0.003809
16.049,0.004775
16.081,0.005474
16.081,0.004202
16.112,0.00498
16.128,0.004485
16.159,0.004497
16.175,0.004781
16.19,0.004422
16.206,0.005238
16.237,0.004675
16.252,0.003859
16.269,0.003852
16.3,0.003583
16.301,0.003754
16.331,0.003459
16.347,0.003715
16.378,0.005395
16.394,0.006109
16.41,0.00454
16.426,0.004329
16.457,0.004118
16.473,0.004113
16.489,0.003986
16.52,0.003984
16.521,0.003965
16.552,0.004055
16.567,0.003976
16.599,0.003846
16.614,0.004066
16.63,0.003681
16.645,0.003369
16.676,0.004359
16.691,0.003947
16.707,0.004621
16.739,0.004476
16.755,0.003302
16.771,0.00318
16.786,0.00289
16.817,0.003293
16.833,0.003397
16.848,0.003805
16.879,0.003417
16.894,0.003109
16.91,0.003516
16.926,0.003386
16.957,0.003308
16.972,0.003373
16.988,0.003087
17.02,0.003455
17.02,0.003546
17.05,0.003508
17.066,0.003389
17.097,0.003423
17.113,0.003545
17.129,0.003412
17.16,0.003687
17.16,0.004299
17.191,0.003917
17.206,0.003735
17.237,0.003415
17.252,0.002986
17.268,0.003541
17.298,0.003464
17.313,0.004495
17.329,0.003769
17.36,0.004376
17.361,0.003361
17.392,0.002979
17.407,0.002981
17.439,0.003782
17.456,0.003571
17.472,0.003161
17.488,0.00321
17.519,0.003131
17.534,0.003424
17.55,0.003133
17.565,0.003402
17.596,0.00345
17.612,0.002875
17.628,0.003504
17.659,0.003033
17.675,0.007731
17.691,0.011949
17.706,0.01193
17.737,0.010763
17.753,0.008614
17.768,0.006323
17.8,0.009133
17.801,0.006728
17.832,0.007431
17.849,0.008573
17.879,0.010288
17.894,0.006244
17.91,0.006838
17.926,0.003739
17.957,0.004174
17.973,0.004127
17.989,0.002879
18.02,0.003185
18.02,0.003248
18.053,0.003711
18.069,0.003701
18.1,0.003577
18.101,0.002456
18.131,0.002136
18.147,0.002494
18.178,0.002779
18.193,0.001953
18.209,0.001681
18.241,0.002145
18.241,0.001728
18.272,0.001807
18.287,0.00161
18.318,0.001564
18.333,0.002151
18.349,0.002127
18.38,0.002267
18.38,0.002012
18.411,0.001933
18.427,0.002143
18.459,0.002063
18.475,0.001707
18.49,0.001647
18.506,0.001813
18.537,0.00156
18.552,0.00147
18.568,0.001275
18.599,0.001646
18.615,0.001304
18.63,0.00112
18.646,0.001418
18.676,0.001352
18.692,0.001473
18.708,0.001202
18.738,0.001951
18.754,0.001705
18.769,0.001266
18.8,0.001164
18.8,0.002597
18.832,0.004431
18.847,0.004227
18.879,0.003642
18.894,0.006848
18.911,0.005675
18.926,0.006415
18.957,0.00789
18.972,0.003735
18.988,0.002314
19.019,0.002344
19.035,0.004176
19.05,0.004065
19.065,0.002675
19.097,0.002259
19.112,0.002712
19.128,0.002121
19.159,0.001782
19.175,0.001825
19.191,0.002786
19.207,0.002961
19.238,0.002135
19.254,0.001186
19.269,0.001499
19.3,0.00145
19.3,0.001445
19.331,0.001472
19.346,0.001371
19.378,0.00104
19.393,0.001089
19.408,0.001357
19.44,0.00128
19.44,0.001433
19.471,0.007146
19.487,0.008269
19.519,0.008667
19.535,0.01228
19.551,0.009113
19.566,0.006826
19.598,0.007141
19.613,0.008522
19.629,0.007461
19.66,0.006868
19.66,0.008183
19.691,0.007258
19.707,0.007555
19.739,0.010451
19.754,0.008528
19.77,0.010608
19.786,0.005976
19.817,0.006982
19.833,0.005762
19.849,0.00692
19.88,0.006848
19.88,0.007199
19.911,0.005983
19.926,0.011266
19.958,0.008933
19.973,0.005166
19.988,0.004166
20.019,0.005736
20.035,0.004924
20.05,0.005435
20.066,0.0058
20.097,0.007873
20.112,0.00528
20.128,0.006348
20.16,0.005484
20.16,0.006614
20.191,0.005788
20.206,0.00564
20.238,0.004546
20.254,0.004388
20.269,0.00472
20.301,0.004271
20.302,0.004164
20.332,0.006676
20.348,0.003509
20.379,0.006623
20.394,0.00583
20.41,0.00395
20.426,0.003303
20.457,0.004364
20.472,0.007199
20.487,0.006242
20.519,0.005019
20.534,0.004136
20.55,0.005316
20.565,0.004626
20.596,0.005609
20.612,0.004786
20.628,0.005421
20.659,0.005123
20.674,0.004261
20.69,0.003912
20.705,0.003891
20.737,0.003713
20.753,0.004524
20.769,0.005058
20.8,0.004407
20.8,0.004651
20.831,0.003568
20.846,0.004649
20.878,0.004221
20.893,0.005163
20.909,0.005087
20.941,0.005403
20.941,0.004064
20.972,0.003695
20.988,0.004734
21.019,0.003513
21.034,0.004898
21.05,0.003645
21.066,0.004414
21.096,0.004583
21.112,0.003702
21.128,0.004215
21.158,0.00432
21.174,0.004113
21.189,0.003518
21.22,0.003337
21.22,0.003244
21.251,0.003451
21.266,0.004061
21.297,0.003988
21.313,0.004192
21.328,0.003613
21.359,0.003307
21.374,0.003592
21.39,0.003248
21.406,0.00347
21.437,0.003222
21.453,0.003039
21.469,0.003474
21.5,0.005215
21.5,0.003451
21.53,0.003488
21.546,0.003406
21.577,0.003289
21.592,0.003742
21.608,0.003584
21.639,0.003604
21.655,0.003285
21.671,0.002856
21.687,0.003219
21.719,0.00287
21.734,0.002968
21.75,0.002684
21.765,0.002913
21.796,0.002723
21.811,0.003461
21.827,0.003707
21.857,0.00316
21.873,0.002303
21.889,0.002699
21.92,0.002452
21.92,0.002943
21.95,0.002464
21.966,0.002771
21.997,0.002936
22.012,0.002574
22.028,0.002804
22.059,0.002621
22.074,0.002829
22.089,0.00349
22.121,0.002574
22.122,0.00321
22.152,0.003137
22.167,0.002844
22.198,0.002284
22.214,0.002435
22.229,0.003286
22.261,0.003068
22.261,0.003275
22.292,0.00271
22.308,0.003012
22.339,0.003149
22.355,0.003191
22.37,0.002558
22.385,0.002338
22.416,0.002673
22.432,0.003197
22.448,0.002203
22.479,0.002475
22.494,0.001949
22.51,0.00227
22.525,0.002707
22.557,0.002622
22.573,0.002916
22.589,0.004163
22.619,0.003099
22.636,0.003953
22.652,0.003786
22.667,0.003226
22.699,0.003585
22.714,0.00355
22.73,0.00402
22.746,0.003397
22.777,0.004143
22.793,0.003414
22.809,0.002724
22.841,0.003023
22.841,0.003897
22.871,0.004076
22.887,0.002777
22.918,0.003405
22.933,0.00274
22.949,0.002711
22.98,0.002892
22.98,0.003259
23.012,0.003004
23.027,0.002632
23.058,0.003027
23.073,0.002744
23.089,0.003646
23.119,0.003612
23.135,0.00781
23.151,0.010684
23.167,0.012505
23.199,0.009399
23.214,0.006906
23.229,0.006829
23.26,0.006078
23.275,0.005705
23.29,0.00776
23.306,0.008893
23.339,0.008525
23.353,0.00505
23.369,0.004742
23.4,0.003455
23.4,0.003425
23.431,0.003025
23.446,0.003647
23.478,0.003014
23.493,0.002261
23.509,0.002573
23.54,0.003675
23.54,0.00263
23.571,0.00263
23.586,0.002038
23.618,0.00253
23.633,0.002754
23.649,0.002989
23.68,0.002421
23.68,0.002082
23.711,0.002117
23.728,0.001777
23.759,0.001315
23.774,0.00187
23.789,0.001983
23.822,0.001982
23.823,0.003404
23.854,0.001686
23.87,0.002364
23.886,0.002568
23.917,0.002514
23.932,0.001623
23.948,0.00223
23.979,0.002275
23.995,0.002279
24.01,0.002167
24.026,0.001378
24.058,0.001875
24.074,0.002801
24.089,0.001787
24.12,0.00187
24.12,0.001374
24.151,0.001294
24.166,0.001332
24.197,0.00219
24.213,0.001658
24.229,0.002523
24.26,0.002986
24.26,0.001822
24.291,0.001672
24.307,0.002789
24.338,0.001879
24.353,0.00204
24.369,0.001963
24.4,0.003725
24.4,0.001482
24.431,0.001414
24.446,0.001493
24.477,0.002003
24.492,0.002583
24.509,0.003505
24.54,0.004701
24.54,0.003799
24.572,0.004334
24.587,0.006995
24.619,0.00646
24.635,0.009574
24.65,0.005463
24.665,0.003158
24.697,0.002504
24.712,0.002367
24.727,0.004284
24.758,0.004695
24.773,0.003145
24.789,0.002937
24.82,0.002332
24.82,0.002839
24.851,0.002537
24.867,0.002282
24.899,0.003534
24.914,0.003419
24.93,0.001781
24.945,0.001454
24.976,0.002182
24.992,0.002462
25.007,0.002467
25.039,0.003056
25.054,0.00269
25.069,0.004021
25.101,0.008012
25.102,0.008164
25.133,0.008676
25.149,0.010032
25.18,0.009446
25.18,0.009768
25.211,0.008173
25.228,0.009689
25.259,0.008919
25.275,0.005833
25.291,0.007884
25.306,0.006993
25.338,0.007591
25.353,0.009818
25.368,0.009719
25.399,0.010486
25.414,0.006021
25.43,0.006432
25.445,0.006266
25.477,0.00725
25.492,0.00737
25.509,0.006295
25.539,0.006323
25.555,0.010799
25.571,0.008197
25.587,0.005616
25.619,0.004262
25.634,0.005871
25.65,0.004792
25.666,0.005592
25.696,0.004584
25.712,0.007899
25.727,0.004834
25.759,0.005797
25.775,0.00623
25.79,0.006678
25.806,0.005418
25.837,0.006733
25.852,0.004791
25.867,0.004262
25.899,0.004378
25.914,0.004148
25.929,0.00377
25.96,0.006497
25.961,0.004596
25.991,0.007608
26.007,0.005692
26.039,0.004237
26.055,0.003343
26.071,0.004898
26.086,0.006122
26.118,0.006517
26.132,0.004663
26.148,0.004943
26.179,0.004833
26.194,0.005167
26.21,0.006029
26.226,0.005341
26.257,0.005236
26.273,0.00468
26.289,0.00412
26.32,0.003841
26.32,0.00377
26.35,0.004096
26.366,0.004738
26.399,0.005411
26.415,0.004297
26.43,0.004674
26.446,0.003911
26.476,0.005497
26.493,0.004189
26.509,0.004858
26.539,0.005315
26.555,0.004791
26.57,0.004438
26.586,0.003662
26.616,0.004915
26.633,0.004127
26.649,0.004661
26.68,0.003827
26.68,0.004633
26.711,0.003765
26.727,0.003668
26.758,0.004554
26.774,0.004048
26.789,0.003685
26.82,0.003273
26.82,0.003956
26.851,0.003174
26.867,0.003516
26.898,0.004541
26.913,0.0042
26.929,0.004471
26.96,0.003809
26.96,0.003999
26.99,0.00419
27.006,0.005047
27.036,0.00471
27.052,0.003443
27.068,0.003699
27.101,0.004215
27.101,0.005118
27.132,0.004277
27.148,0.004998
27.179,0.003525
27.195,0.003519
27.21,0.003742
27.225,0.00391
27.258,0.004156
27.274,0.004226
27.29,0.004367
27.321,0.004266
27.321,0.003821
27.352,0.003542
27.367,0.0036
27.399,0.003484
27.414,0.003395
27.429,0.004297
27.46,0.003936
27.461,0.003849
27.492,0.003447
27.508,0.003442
27.539,0.003517
27.554,0.003271
27.57,0.003286
27.6,0.003194
27.6,0.003375
27.631,0.00342
27.647,0.003316
27.679,0.003063
27.694,0.003647
27.71,0.003672
27.726,0.003803
27.757,0.004096
27.773,0.003898
27.789,0.003343
27.82,0.003429
27.821,0.003135
27.851,0.003127
27.867,0.003082
27.898,0.003086
27.913,0.003644
27.928,0.003742
27.959,0.003669
27.974,0.003692
27.99,0.003851
28.005,0.00307
28.036,0.003266
28.051,0.003283
28.068,0.003211
28.099,0.003218
28.114,0.00242
28.13,0.002366
28.146,0.002348
28.177,0.002488
28.193,0.003104
28.208,0.004408
28.24,0.003314
28.24,0.003508
28.271,0.003582
28.286,0.003194
28.318,0.003311
28.333,0.003772
28.349,0.004389
28.38,0.00399
28.381,0.00425
28.412,0.003863
28.428,0.003127
28.459,0.003206
28.475,0.003445
28.49,0.003579
28.506,0.002885
28.536,0.003416
28.552,0.003125
28.568,0.003079
28.599,0.002789
28.615,0.003341
28.63,0.003187
28.646,0.003194
28.677,0.00379
28.692,0.003535
28.708,0.003805
28.739,0.003784
28.754,0.004497
28.77,0.00353
28.785,0.004235
28.816,0.003219
28.831,0.002641
28.847,0.003323
28.879,0.003224
28.894,0.003418
28.91,0.002767
28.925,0.002773
28.957,0.003592
28.973,0.003323
28.989,0.00299
29.02,0.003277
29.02,0.00341
29.05,0.003714
29.066,0.003118
29.096,0.002961
29.113,0.003096
29.129,0.003132
29.159,0.003625
29.16,0.003276
29.192,0.003472
29.207,0.003679
29.238,0.003439
29.253,0.002789
