t,rms_l,rms_r,onset_l,onset_r,zcr_l,zcr_r,band_low_l,band_low_r,drive_l,drive_r,agc
1.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
2.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
